TWVS TRACKER REVIEW — cumulative displayed entries (Oct 2025 → June 2026)

=== Stray Kids (109 songs · 3464♥) ===
  103♥  Stray Kids — Bleep   [12:23 01:29 02:26 03:25]
   27♥  Stray Kids — DominATE   [03:27]
   27♥  Stray Kids — 2025 MAMA award show live performance   [04:27]
   27♥  Felix and Han — Truman   [04:27]
   27♥  Stray Kids — Item/Topline Recording scenes   [06:27]
   26♥  Stray Kids — JJam   [12:26]
   26♥  Stray Kids — concert reaction   [12:26]
   26♥  Stray Kids — 2kidsshow performances   [01:26]
   25♥  Stray Kids — GIANT   [11:25]
   25♥  Stray Kids — Side Effects   [03:25]
   25♥  Lee Know — Lee Mujin Service   [04:25]
   25♥  Stray Kids — Tortoise and the Hare   [04:25]
   25♥  Han — Deep dive   [06:25]
   24♥  Stray Kids — Christmas EveL   [12:24]
   24♥  Bang Chan — I hate to admit   [05:14 06:10]
   23♥  Felix, Han — Truman   [02:23]
   23♥  Stray Kids — Lee Mujin Service episodes   [04:23]
   23♥  Han and Changbin — King of Masked Singer   [04:23]
   22♥  3Racha — Heyday   [02:22]
   21♥  BTOB, Stray Kids — I'll Be Your Man   [11:21]
   21♥  Stray Kids — Lee Mujin Service (Han, Seungmin, Lee Know, I.N)   [02:21]
   21♥  Stray Kids — Thunderous (KBS Live)   [02:21]
   21♥  Stray Kids — Domino   [06:21]
   20♥  Seungmin — YB collaboration   [01:20]
   20♥  Stray Kids — Double Knot   [04:20]
   20♥  YB feat. Seungmin — Gayo Daejejeon 2025   [05:12 06:8]
   19♥  Hyunjin — So Good   [02:19]
   19♥  Seungmin — Still Here   [05:12 06:7]
   19♥  Hyunjin — Quill Pen   [05:12 06:7]
   18♥  Stray Kids — CINEMA   [11:18]
   18♥  Band LIVE — Chk Chk Boom   [04:18]
   18♥  Seungmin and Han — 2Kidsshow   [05:18]
   18♥  Stray Kids — The First Take   [05:18]
   18♥  Hyunjin — Dance Covers   [05:4 06:14]
   18♥  Stray Kids — 3rd Eye   [06:18]
   16♥  Stray Kids — Never Ending Story   [05:16]
   16♥  Stray Kids — Topline   [06:16]
   16♥  Stray Kids — Secret Secret   [06:16]
   15♥  Stray Kids — ODDINARY main album trailer   [02:15]
   15♥  Stray Kids — Kingdom behind the scenes   [06:15]
   15♥  Stray Kids — Victory Song   [06:15]
   14♥  Stray Kids — 2kidsshow   [05:14]
   14♥  Changbin — Doodle   [06:14]
   14♥  Stray Kids — TMI   [06:14]
   14♥  I.N — Lee Mujin Service   [06:14]
   13♥  Stray Kids — God's Menu / Maniac / Thunderous / S-Class / Bleep   [10:13]
   13♥  Bang Chan — Railway   [10:13]
   13♥  Stray Kids — Hellevator   [11:13]
   12♥  Stray Kids — Maniac   [10:12]
   12♥  Stray Kids — Lose My Breath   [11:12]
   12♥  Seungmin — Love Poem   [01:12]
   12♥  2Kids Show — Volcano / Hold On   [04:12]
   11♥  Han — catalog   [05:11]
   11♥  Stray Kids — Rockstar Recording Scene   [05:2 06:9]
   11♥  Seungmin — Lee Mujin Service   [06:11]
   10♥  Seungmin — Ultra   [05:10]
   10♥  Stray Kids — Because   [06:10]
    9♥  Stray Kids — DIVINE   [01:9]
    7♥  Han — Don't Say   [11:7]
    7♥  Felix — Deep End   [11:7]
    5♥  Stray Kids — God's Menu   [10:5]
    5♥  Stray Kids — Stray Kids   [02:5]

=== VTuber (144 songs · 1665♥) ===
   71♥  Gigi Murin — I'll still be here   [03:9 04:13 05:30 06:19]
   44♥  Tokoyami Towa — Error   [04:9 05:23 06:12]
   40♥  Nanashi Mumei — Mumei   [03:10 04:9 06:21]
   40♥  Tokoyami Towa — Mumei   [04:5 05:21 06:14]
   38♥  Hoshimachi Suisei — Still Still Stellar   [05:14 06:24]
   37♥  Tsunomaki Watame — My Song   [04:7 05:11 06:19]
   36♥  Omaru Polka — Po   [03:9 05:11 06:16]
   31♥  Nerissa Ravencroft — Down By the River   [05:16 06:15]
   30♥  Mumei — Mumei   [05:30]
   25♥  Hakos Baelz — Psycho   [05:25]
   24♥  Ayunda Risu — Mir//or   [04:7 05:10 06:7]
   24♥  Ellie_minibot — I Don't Want to Be an Engineer   [04:5 05:13 06:6]
   23♥  Gawr Gura — Reflect   [04:5 05:18]
   23♥  Nerissa Ravencroft — BIRDBRAIN   [05:14 06:9]
   20♥  Mori Calliope — Disasterpiece   [05:20]
   20♥  Starlight Daryl — Starlight Fantasia   [05:6 06:14]
   19♥  Moona Hoshinova — High Tide   [03:6 05:13]
   19♥  Houshou Marine and Kobo Kanaeru — III   [05:19]
   19♥  Gawr Gura and Houshou Marine — Shinkiro   [05:19]
   18♥  Jurard T Rexford — JENNY   [05:8 06:10]
   17♥  Hakos Baelz — Snake Eyes   [03:17]
   16♥  Mori Calliope — End of a life   [11:1 04:8 05:7]
   16♥  Banzoin Hakka — Palette   [03:4 04:4 05:8]
   16♥  Hololive — catalog   [04:7 05:9]
   16♥  Elizabeth Rose Bloodflame — ERB's 3D Birthday Concert   [05:16]
   16♥  OBKATIEKAT — Break   [05:7 06:9]
   16♥  Bao the Whale and Neurosama — Mesmerizer   [05:7 06:9]
   15♥  Ninomae Ina'nis — TEMARI   [05:15]
   14♥  Michi Mochievee — Medicine   [04:14]
   14♥  Hakka Banzoin — My Roar   [05:14]
   14♥  Unnamed — Godish   [06:14]
   14♥  Cecilia Immergreen — Wind-Up   [06:14]
   13♥  Ironmouse — Meow   [03:13]
   13♥  Neuro-sama — Machine Love   [03:8 06:5]
   13♥  Ayunda Risu — Alice&U   [03:13]
   13♥  Kobo Kanaeru — Fond Memories   [04:4 06:9]
   13♥  Kotonoha — Roboco-san   [05:13]
   13♥  Ironmouse and Michi Mochievee — Daidaidaidaidaikirai   [05:13]
   13♥  Moona Hashinova — Distortion   [06:13]
   12♥  Takanashi Kiara — Blue & Gold   [05:12]
   12♥  Aki Rosenthal — Shalyis   [05:12]
   12♥  Akuma Nihmune — Spaced out   [05:7 06:5]
   12♥  RIM — Carnivorous Plant   [05:4 06:8]
   12♥  Nerissa Ravencroft, Amalee — Blink gone   [06:12]
   11♥  Otonose Kanade — Daybreak Frontline   [05:11]
   11♥  Tokoyami Towa — Bazubi Bazub   [05:11]
   11♥  Shiranui Flare — Silent Flame, Never Fade   [05:11]
   11♥  Ironmouse x Michi Mochievee — Daidaidaidaidaikirai   [06:11]
   11♥  Ayunda Risu — Deep Dive playlist   [06:11]
   10♥  Akuma Nihmune — Scatterbrain   [02:3 05:7]
   10♥  Hoshimachi Suisei — Primadonna   [04:10]
   10♥  HONK THE HORN — NO LEASH   [04:1 05:6 06:3]
   10♥  Regis Altare — Everything Goes On   [05:10]
   10♥  Unnamed (U--san) — Godish   [05:10]
   10♥  VWP — Resonance   [05:6 06:4]
   10♥  KAF — EAT THE PAST   [05:3 06:7]
   10♥  Densetu.exe — Burn on! Hot-Blooded Heroine   [06:10]
    9♥  Suisei X Marine — Chatter Chatter   [03:9]
    9♥  Neuro-sama x Vedal — Chinatown Blues   [03:9]
    9♥  Numi — Scatterbrain   [03:4 04:5]
    9♥  Houshou Marine and Kobo — III   [04:9]
    9♥  Ironmouse and Michi — Daidaidaidaidaikirai - Hatsune Miku VS Kasane Teto (Cover)   [04:9]
    9♥  Houshou Marine — Unison   [05:9]
    9♥  Bao the Whale — Citrus Love   [05:9]
    9♥  Asu — Slowly   [05:4 06:5]
    9♥  Meovv — Toxic   [05:5 06:4]
    9♥  Akuma Nihmune — Natalie Radio   [06:9]
    9♥  Aki Rosenthal — SHALLYS   [06:9]
    9♥  IRyS — Gravity   [06:9]
    8♥  Ironmouse — Clair Obscur Alicia / Lumiere   [12:8]
    8♥  Mori Calliope — Orpheus   [12:2 04:6]
    8♥  Tokoyami Towa — Error 3D live   [04:8]
    8♥  ShiaBun — Dance the Night Away   [04:3 05:3 06:2]
    8♥  Octavio — Hollow Hunger   [05:8]
    8♥  Banzoin Hakka — Shattered Wings   [05:8]
    8♥  Kanade Izuru — IRIS OUT   [05:8]
    8♥  Ironmouse — Return to Oblivion   [05:8]
    8♥  Ayunda Risu — Mirror   [05:8]
    8♥  Nephla — Night Magician   [05:5 06:3]
    8♥  Amane Kanata — Fallen Wing   [05:5 06:3]
    8♥  Marinasu — Wonderland   [05:4 06:4]
    8♥  Rachie — Monitoring   [06:8]
    8♥  OBKATIEKAT, Zephyrianna, FutakuchiMana — Kingslayer   [06:8]
    8♥  Isekaijoucho — Sirius no Shinzou / The Heart of Sirius   [06:8]
    8♥  Ironmouse — FFXIV Fan Fest Stage Performance   [06:8]
    7♥  Moona Hashinova — High Tide   [04:7]
    7♥  bajiru — Lust   [04:7]
    7♥  Akuma Nihmune — Darkest hour   [05:7]
    7♥  Tokoyami Towa — Shirube   [05:7]
    7♥  OBKATIEKAT — Kingslayer   [05:7]
    7♥  Minase Rio — Campanella   [05:7]
    7♥  Axel Syrios, Banzoin Hakka, Octavio — Asu no Yozora   [05:7]
    7♥  Bratt — DADADA   [06:7]
    7♥  KAF — positive Substitution   [06:7]
    7♥  Raora Panthera — Draw   [06:7]
    7♥  Inugame Korone — Wonky Monkey   [06:7]
    7♥  Elizabeth Rose Bloodflame — Agadoo   [06:7]
    7♥  KAF — Made in me   [06:7]
    7♥  Moona Hoshinova — Who's Toxic? It's You!   [06:7]
    7♥  Mint Fantome — Dream a Little Dream of Me   [06:7]
    7♥  Ironmouse — Aren't we all the worst   [06:7]
    7♥  Ellie_minibot — same moon   [06:7]
    6♥  Hoshimachi Suisei — BIBBIDIBA   [12:6]
    6♥  Hakos Baelz — RxRxR   [02:6]
    6♥  Calliope Mori — End of a Life   [02:6]
    6♥  Nerissa Ravencroft — Oyome Holic   [02:6]
    6♥  Vedal — Boom!   [02:6]
    6♥  Neuro & Camila — Evil   [03:6]
    6♥  Iofi — Here I Am   [03:6]
    6♥  Ellie_minibot — Bugs   [04:6]
    6♥  Hololive EN - Advent — The Story of Advent   [04:6]
    6♥  Omaaru Polka — Po   [04:6]
    6♥  Hololive English Advent — The Story of Advent   [05:6]
    6♥  Akuma Nihmune — Change the storm   [05:6]
    6♥  Banzoin Hakka, Gavis Bettel, Machina X Flayon — Dead World   [05:6]
    6♥  Octavio — Helena   [05:6]
    6♥  Akuma Nihmune — Nobody   [05:6]
    6♥  CottontailVA — Phantom of the Opera   [05:6]
    6♥  52 hearts — Bao the whale   [05:6]
    6♥  Amalee — Last Stardust   [05:6]
    6♥  Cosmo Kamizuru — Orbital Period   [05:3 06:3]
    6♥  Astel Leda — Envy Baby   [06:6]
    6♥  Shirakami Fubuki — Kingworld   [06:6]
    6♥  Isekaijoucho — Isekai no Housekitan   [06:6]
    6♥  Akuma Nihmune — Obsessive tendencies   [06:6]
    6♥  Sinon Sinfonia — Never Enough   [06:6]
    6♥  Bao the whale and others — love in paradise   [06:6]
    6♥  Akuma Nihmune — in love with an anime girl   [06:6]
    6♥  Elizabeth Rose Bloodflame — COBRA   [06:6]
    6♥  Nerissa Ravencroft — Sweetest Scarlet   [06:6]
    6♥  Ouro Kronii — Way 2 U   [06:6]
    5♥  Neurosama — Life   [11:2 12:3]
    5♥  Ironmouse — She Used to be Mine   [03:5]
    5♥  Densetsu.exe — Akiba   [03:5]
    5♥  Mint Fantome — Valentines Live Concert   [03:5]
    5♥  Evil — Evil   [04:5]
    5♥  Tokoyami Towa — Bazubi Bazab   [04:5]
    5♥  Bajiru — Let You Break My Heart Again   [05:5]
    5♥  Tokoyami Towa — 不可視   [05:5]
    5♥  Hakos Baelz — A Million Miles Away   [05:5]
    5♥  Amane Kanata — Last Resort   [05:4 06:1]
    5♥  Mori Calliope — Scuffed Up Age   [05:5]
    5♥  Rikka — Re:Hello world   [06:5]
    5♥  GEMS COMPANY — Hai to Inori   [06:5]

=== BTS (51 songs · 653♥) ===
   52♥  Agust D — Daechwita   [10:8 02:9 03:8 04:17 05:10]
   38♥  Jimin — Serendipity   [01:7 02:8 03:9 04:14]
   32♥  BTS — Spring Day   [03:8 04:14 05:10]
   29♥  BTS — Mic Drop   [02:8 03:6 05:8 06:7]
   27♥  BTS — Film Out   [10:3 11:4 01:2 04:12 05:6]
   27♥  BTS — Outro: Tear   [02:7 03:9 05:6 06:5]
   25♥  BTS — Louder Than Bombs   [01:4 04:10 05:5 06:6]
   25♥  BTS — Room Live for Festa 2021   [03:9 04:16]
   24♥  Agust D — Snooze   [12:3 03:7 05:8 06:6]
   18♥  RM — Wild Flower   [11:6 03:6 06:6]
   18♥  BTS — ITEM and Topline   [02:18]
   18♥  BTS — Yet to Come Concert   [03:7 04:11]
   16♥  Jungkook — Standing Next to You   [01:7 05:9]
   15♥  BTS — ON   [01:15]
   15♥  BTS — catalog   [02:15]
   13♥  BTS — 2.0   [04:13]
   13♥  Jungkook — Euphoria   [05:6 06:7]
   12♥  Jin — Super Tuna   [03:3 04:9]
   12♥  BTS — Mic Drop (Steve Aoki Remix)   [04:12]
   12♥  BTS Rap Line — Outro: Tear   [04:12]
   12♥  BTS — Dionysus   [04:12]
   10♥  BTS — Magic Shop   [02:10]
   10♥  Coldplay — My Universe   [03:6 05:4]
   10♥  Jin — Epiphany   [05:5 06:5]
   10♥  RM — Nuts   [05:5 06:5]
   10♥  Agust D — Amygdala   [06:10]
    9♥  BTS — Your Eyes Tell   [10:9]
    8♥  BTS — Black Swan   [11:8]
    8♥  BTS — BTS Festa 2021   [12:8]
    8♥  Song Sohee — Spring Day   [04:8]
    8♥  Jungkook — Hate You   [04:8]
    8♥  Jimin — Set Me Free Pt2   [05:8]
    8♥  tablo x RM — stop the rain   [05:8]
    7♥  BTS — Fix You   [11:7]
    7♥  BTS — Proof Live   [03:7]
    7♥  BTS — No More Dream   [03:7]
    6♥  V — Stigma   [05:6]
    6♥  BTS — Come Over   [06:6]
    5♥  Song So Hee — BTS cover   [10:5]
    5♥  BTS — Kinetic Manifesto   [10:5]
    5♥  V — White Christmas   [12:5]
    5♥  Agust D — Daechwita, Haegum, AMYGDALA   [02:5]
    5♥  Jin (BTS) — Epiphany   [02:5]
    5♥  BTS — We Are Bulletproof: The Eternal   [05:5]
    5♥  BTS — BTS Room Live for Festa 2021   [06:5]
    5♥  Agust D — Haegeum   [06:5]
    4♥  BTS — Mikrokosmos   [01:4]
    4♥  BTS — Yet to Come in Busan   [02:4]
    4♥  J-Hope — Lollapalooza Berlin performance   [02:4]
    4♥  RM — Moonchild   [05:4]
    4♥  J-Hope — More   [05:4]

=== J-Pop (126 songs · 1232♥) ===
   38♥  Yorushika — That's Why I Gave Up on Music   [11:4 02:7 03:10 04:6 05:11]
   32♥  9Lana — Propose   [12:3 03:10 04:6 05:13]
   32♥  Mafumafu — Hated By Life Itself   [04:6 05:13 06:13]
   27♥  Minami — Hollowness   [11:4 05:15 06:8]
   26♥  Ado — Odo   [12:2 04:8 05:16]
   21♥  Eve — Dramaturgy   [02:10 03:11]
   20♥  Kikuo — Kara Kara Kara no Kara   [03:7 04:5 05:8]
   20♥  Band-Maid — Hate?   [04:10 05:10]
   19♥  Fuji Kaze — Shinunoga E-Wa   [12:8 01:4 04:7]
   19♥  Wowaka — Unknown Mother Goose   [03:6 04:6 05:7]
   19♥  Sasakure .UK — ÅMARA (The Great Intelligence)   [04:3 05:9 06:7]
   18♥  Sokoninaru — Tenohira De Odoru   [03:7 05:7 06:4]
   18♥  King Gnu — Prayer X   [04:6 05:6 06:6]
   18♥  Mili — world.execute (me)   [05:7 06:11]
   17♥  Phantom Siita — Zoku Zoku   [01:7 02:4 04:6]
   17♥  kikuo — hole dwelling   [03:10 04:7]
   17♥  Mrs. GREEN APPLE — Que Sera Sera   [04:6 05:7 06:4]
   17♥  9lana — Balalaika   [04:4 06:13]
   16♥  Ado — Godish   [12:3 03:13]
   16♥  Moka — Fleeting Lullaby   [02:11 04:5]
   16♥  MafuMafu — Sacrifice   [05:10 06:6]
   15♥  Utsu-P — I thought I was an angel   [04:3 05:12]
   15♥  MafuMafu — Meltdown   [05:8 06:7]
   15♥  Bump of Chicken — Acacia   [05:7 06:8]
   14♥  Creepy Nuts — Bling Bang Bang Born   [11:14]
   14♥  PinocchioP — Non-breath oblige   [04:6 05:8]
   13♥  Akuma nihmune — plants   [05:4 06:9]
   12♥  Wolpis Carter — Blooming in the Mud   [11:1 05:6 06:5]
   12♥  Official Hige Dandism — Same Blue   [03:5 05:4 06:3]
   12♥  PinocchioP — I'm Glad You're Evil Too   [04:7 05:5]
   12♥  Utsu-P — Hyper Reality Show   [04:6 05:6]
   12♥  Sasakure.uk — Future Eve   [04:5 05:7]
   12♥  KikuoHana — O Light   [06:12]
   11♥  Babymetal — Akatsuki   [02:3 06:8]
   11♥  iyowa — Kyu-kurarin   [04:3 05:5 06:3]
   11♥  Yuuri — betelgeuse   [05:4 06:7]
   10♥  Bao the Whale — Birdbrain   [01:5 06:5]
   10♥  Phantom Siita — catalog   [01:10]
   10♥  YOASOBI — Racing into the Night   [04:10]
   10♥  MARETU — SIU   [04:4 05:6]
   10♥  r-906 — Psi   [04:3 05:7]
   10♥  Minami — main actor   [05:10]
   10♥  Kikuo — Reincarnation Ascension   [05:7 06:3]
   10♥  Aimer — Dareka, Umi Wo   [05:5 06:5]
   10♥  fear, and loathing in las vegas — Let me hear   [05:4 06:6]
   10♥  Minami — Waiting for Rain   [06:10]
   10♥  r-906 — Saji no Majinai / A Spoonful of SPELL   [06:10]
   10♥  kikuohana — desert theater   [06:10]
    9♥  ADO — USSEEWA   [01:9]
    9♥  One OK Rock — Take what you want   [01:2 03:3 05:4]
    9♥  9Lana — Let me Battle   [05:9]
    9♥  Sheena Ringo — Marunouchi Sadistic   [05:9]
    9♥  Yorushika — Spring Thief   [05:9]
    9♥  MafuMafu — I wanna be a girl   [05:9]
    9♥  Giga — PLAY ft. Miku   [06:9]
    9♥  Tuki — Saitai Kaiwai   [06:9]
    9♥  KikuoHana — Daughter of Misfortune   [06:9]
    8♥  YOASOBI — Monster   [10:8]
    8♥  Ukrampage/Sasakure .UK — 5 Minute Mythology   [05:8]
    8♥  Yorushika — abuku   [05:8]
    8♥  Zutomayo — Darken (Strong)   [05:8]
    8♥  iyowa — Dreamy Climax   [05:8]
    8♥  Centimillimental — Fuyu no Hanashi   [05:4 06:4]
    8♥  Tuki — Bansanka   [06:8]
    8♥  Ado — Lucky Bruto   [06:8]
    7♥  Eve — catalog   [12:7]
    7♥  King Gnu — Hakujitsu   [01:4 04:3]
    7♥  ZUTOMAYO — Darken (Strong Version)   [03:7]
    7♥  Ado — Where the Wind Blows   [04:7]
    7♥  One Ok Rock — Renegades   [04:7]
    7♥  iyowa — Heat Abnormal   [04:3 05:4]
    7♥  Iroha — Meltdown   [05:7]
    7♥  KikuoHana — Dessert Theater   [05:7]
    7♥  Su-Metal — Akatsuki (Black Night)   [05:7]
    7♥  Official Hige Dandism — Pretender   [05:7]
    7♥  Tuki. x Yuuri — Bansanka   [05:7]
    7♥  Shiina Ringo — Tsumi to Batsu   [05:7]
    7♥  BABYMETAL — Gimme chocolate   [05:7]
    7♥  iyowa — Leaving you on the back of the Earth   [05:4 06:3]
    7♥  Minami — Drop   [06:7]
    7♥  Wolpis Carter — Tokyo Teddy Bear   [06:7]
    6♥  One Ok Rock — We Are   [12:6]
    6♥  Yorushika — That is Why I Gave Up on Music   [01:6]
    6♥  ONE OK ROCK — Clock Strikes   [03:6]
    6♥  ONE OK ROCK — When I Was King   [03:6]
    6♥  Official Hige Dandism — Cry Baby / Same Blue / Mixed Nuts   [04:6]
    6♥  KikuoHana — O Light / Nobore! Susume! Takai tou!   [04:6]
    6♥  Yorushika — Miyakoochi   [05:6]
    6♥  Sasuke Haraguchi — Igaku   [05:6]
    6♥  Ado — Kagakushu   [05:6]
    6♥  Kenshi Yonezu — KANDEN   [05:6]
    6♥  Miyashita Yuu — Histronic   [05:6]
    6♥  tuki. — Saitei Kaiwai 1st live performance at the NIPPON BUDOKAN   [05:6]
    6♥  Tak featuring Hatsune Miku and Kasane Teto — numb numb   [06:6]
    6♥  Wolpis Carter — Anchors Weigh   [06:6]
    5♥  Band-Maid — Ready To Rock   [02:5]
    5♥  Ado — catalog   [02:5]
    5♥  Giga — BRING IT ON   [04:5]
    5♥  Akuma Nihmune — Europa   [05:5]
    5♥  Rosu — Wink   [05:5]
    5♥  Unlucky Morpheus — Black Pentagram   [05:5]
    5♥  Yurika — Kyoumen no Nami   [05:5]
    5♥  Yorushika — Deep Indigo   [05:5]
    5♥  Lovebites — Judgement Day   [06:5]
    5♥  Mafumafu — Hitomodoki   [06:5]
    5♥  Rosu — Wizard's Diary   [06:5]
    5♥  9lana — Aimai   [06:5]
    5♥  Tokyo Ska Paradise Orchestra — グッドラック！マイフレンド   [06:5]
    4♥  Ado — Motherland   [12:4]
    4♥  Yorushika — Chidori   [03:4]
    4♥  Flavor Foley — Butcher Vanity   [04:4]
    4♥  Dunk — Todoroki Hajime   [05:4]
    4♥  Ling tosite sigure — KIMITOOKU   [05:4]
    4♥  Official Hige Dandism — White Noise   [05:4]
    4♥  iyowa — Angel Care   [05:4]
    4♥  OMGkawaiiAngel — Cubism & Cubibibibism   [05:4]
    4♥  Spoken For ft. Kasane Teto — FLAVOR FOLEY   [05:4]
    4♥  Mafumafu — Tokyo Dome concert in 2021   [06:4]
    4♥  Chikara — Do it a capella   [06:4]
    4♥  Sasuke Haraguchi — Medicine (igaku)   [06:4]
    4♥  Teniwaha — Villan   [06:4]
    4♥  Ado — Villan   [06:4]
    4♥  Mrs. GREEN APPLE — Darling   [06:4]
    4♥  Zutomayo — Study Me   [06:4]
    4♥  Suis — catalog   [06:4]
    4♥  Sheena Ringo — Maranouchi Sadistic   [06:4]

=== ATEEZ (52 songs · 530♥) ===
   39♥  ATEEZ — HALAZIA   [11:3 12:7 01:8 02:5 04:16]
   24♥  ATEEZ — WONDERLAND   [01:8 03:16]
   23♥  ATEEZ — Killing Voice   [11:8 12:15]
   16♥  ATEEZ — Coachella set   [04:16]
   16♥  ATEEZ — The Black Cat Nero   [04:16]
   16♥  ATEEZ — Empty Box   [06:16]
   15♥  ATEEZ — Adrenaline   [02:15]
   15♥  ATEEZ Jongho — Lee Mujin Service   [05:15]
   14♥  Jongho — Wildflower   [06:14]
   13♥  ATEEZ — Bouncy   [01:5 04:8]
   13♥  ATEEZ Jongho — Everything   [03:13]
   13♥  ATEEZ — Ice on My Teeth   [03:8 05:5]
   13♥  ATEEZ — Coachella full performance   [05:13]
   12♥  ATEEZ Jongho — catalog   [03:12]
   12♥  ATEEZ — On The Road   [06:12]
   12♥  ATEEZ Hongjoong — Beat It   [05:12]
   11♥  ATEEZ — Ice on my teeth and Blind   [02:11]
   11♥  ATEEZ — cyberpunk, Deja Vu, inception, Halazia, dune   [02:11]
   11♥  ATEEZ — Dune   [03:11]
   11♥  ATEEZ — New World   [03:11]
   11♥  Seonghwa — Skin   [06:11]
   11♥  Hongjoong — Lee Mujin Service   [06:11]
   11♥  San — Lee Mujin Service   [06:11]
   10♥  ATEEZ — Cyberpunk   [12:2 02:8]
   10♥  Jongho — Tim   [04:10]
   10♥  ATEEZ — Dear Name   [06:10]
    9♥  Ateez — Lee Mujin Service   [04:9]
    9♥  ATEEZ — Highway in the Gale   [06:9]
    9♥  ATEEZ — The Seasons S8 EP.21   [06:9]
    9♥  ATEEZ — Towards the Light: Will to Power concert   [06:9]
    8♥  ATEEZ — This World   [05:8]
    8♥  Hongjoong — Black or White   [06:8]
    8♥  ATEEZ — Money   [06:8]
    8♥  ATEEZ — Tipsy Live on Dingo   [06:8]
    8♥  ATEEZ — ASEA 2026 performance   [06:8]
    8♥  San & Jongho — Dear Name   [06:8]
    7♥  ATEEZ — Legacy   [05:7]
    7♥  ATEEZ — Inception   [06:7]
    6♥  ATEEZ — Dreamy Day   [02:6]
    6♥  Jongho (ATEEZ) — Immortal Songs performance   [02:6]
    6♥  ATEEZ — Kingdom: Legendary War   [03:6]
    5♥  Baekhyun & Jongho — Until I Found You   [05:5]
    5♥  Jongho — Lee Mujin Service   [06:5]
    4♥  ATEEZ — Pirate King   [01:1 02:3]
    4♥  ATEEZ — Coachella Weekend 2   [06:4]
    4♥  Hongjoong — Numb   [06:4]
    4♥  ATEEZ — Selfish Waltz   [06:4]
    3♥  Jongho — Immortal Songs performance   [02:3]
    3♥  ATEEZ — NASA   [05:3]
    3♥  ATEEZ — Bouncy (K-HOT CHILLI PEPPERS)   [05:3]
    3♥  ATEEZ — NOT OKAY   [06:3]
    3♥  Jongho — So You   [06:3]

=== Europe / Eurovision (47 songs · 426♥) ===
   23♥  Berq — 15min live set   [03:13 04:10]
   23♥  ok.danke.tschüss — Zu laut in der Disko   [03:11 04:12]
   22♥  Vesna — My sister's crown   [03:12 04:10]
   22♥  Berq — 15min live Session   [05:10 06:12]
